Line_ID,FVSI,Lmn,LQP,NLSI,NVSI,VSLI,VSI_2,L_index,VCPI_bus
0,0.12483805215100378,0.1332859236998943,0.13678634522327018,0.2136221050889433,0.17159665951527125,0.014632466278991174,0.18582226935041507,0.0,79.35177571843052
1,0.2990888435045603,0.3482916806063575,0.44224543802114197,0.4763309118962561,0.4637466070717163,0.5848595584765475,0.38903504176439196,0.20253260605451937,18.62051485213265
2,0.3782654682299551,0.43769378894453825,0.46421600452543144,0.5640918287852932,0.43737850534182926,0.6292961665873854,0.4975615922614276,0.24446834325798325,58.238611507521114
3,0.0628349439325408,0.06444170268195282,0.06874633433127468,0.10747089040283976,0.10416584455411197,0.11544036127203629,0.08975046327591908,0.24446834325798325,58.238611507521114
4,0.3969823057495249,0.4438758358838102,0.48987810464105375,0.5318721328320901,0.4519359095706587,0.5995446845832209,0.4919026206643316,0.24232502994167346,1.0000000070147372
5,0.4154579979486869,0.5196119387166778,0.6015500269081007,0.6518521406849106,0.5619741853300622,0.7739317621220759,0.5320949380975227,0.33976119714429776,1.0000000301952066
6,0.17891868108560932,0.1867139670094161,0.19483588705817986,0.24738707945730867,0.19548047175083602,0.2661387657596529,0.24268255775810224,0.33976119714429776,1.0000000301952066
7,0.26787086486022443,0.3014950935282736,0.3051341807998897,0.44122454491032276,0.3159553830303203,0.48285550259928617,0.38487096832650475,0.45455558581981975,245.6864150987456
8,0.13905469864540265,0.144597410236407,0.13574957118729555,0.2075122432891623,0.13779148326361357,0.2144659780411262,0.21117913542884265,0.45455558581981975,245.6864150987456
9,0.3631802963422539,0.3796380887201395,0.37625092096501633,0.42968476327593574,0.29567103280320645,0.44737613976446794,0.4561319080204751,0.5518239862430289,481.33174520629217
10,0.5005991054261685,0.5089168650495725,0.5804318689621407,0.5005991054261685,0.503492714728606,-0.420766341890197,0.5005991054261685,0.2230423580013027,inf
11,0.8559508460146931,0.8861412729836248,1.0413221609149348,0.8559508460146932,1.0612660110975438,-0.6705795311144522,0.8559508460146931,0.16990136102433753,84473106408000.27
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22304235800130268,
13,0.24095163776542133,0.241748629974285,0.2556410576442887,0.24095163776542133,0.19429973887048296,-0.22626221788655404,0.24095163776542133,0.16990136102433753,84473106408000.27
14,0.30090839445145123,0.3011015204781381,0.3038456649208557,0.30090839445145123,0.18823929587334728,-0.2979711239820461,0.30090839445145123,0.21714093565219836,398953230253475.44
15,0.2883839654422119,0.31626982113938595,0.5567079654402105,0.28838396544221195,0.6282886406988177,0.5567079654402107,0.2883839654422119,0.21714093565219836,398953230253475.44
16,0.022449071038629875,0.024896297780928597,0.058471662140601656,0.1943402602717762,0.1924920819223138,0.22901645595359227,0.03886827226598397,0.3114799588248323,1064172780574921.2
17,0.14573680689579974,0.16694711056104153,0.15105894848904658,0.31169699092046127,0.20453051701006228,0.13193771091133305,0.23840072627311687,0.24376339050020515,671657441241687.1
18,0.06671339677919337,0.07722821672542424,0.12341730353080532,0.2762984237376101,0.25396291290866396,0.23182090405085318,0.11109722320878125,0.2699465994380842,324699095531013.9
19,0.16353706140117638,0.15933177377457336,0.07433729358033919,0.112335915121076,0.04246896379684372,0.11287755920793488,0.2806458179161949,0.3114799588248323,1064172780574921.2
20,0.2256939963612502,0.24774073109209857,0.21808967716726363,0.32269001458206603,0.20207503953265987,-0.022346833467133953,0.33332103967652543,0.25096811249282236,inf
21,0.045335173724782525,0.053623177755366236,0.11826721746674297,0.30119312293335615,0.2704492409665161,0.36665641310657304,0.07874729486997882,0.3945480570502757,566360037577709.0
22,0.033921156018043616,0.03612823216681212,0.04234545370304724,0.1355878998166708,0.1190928370353792,0.09479956915154861,0.0582311964893724,0.4391135576762978,2010929344459338.0
23,0.11024042051460148,0.111673292559087,0.09558341475302189,0.13466348503839234,0.07048325092073085,0.13547536887050105,0.17601827975779955,0.4391135576762978,2010929344459338.0
24,0.31392773984692696,0.3341571002622088,0.30026704974840823,0.41434303025735836,0.2522010871252792,0.4280674273924249,0.44100287121371357,0.3768096235394288,191619036361328.97
25,0.21535633191741846,0.21531084773211528,0.1901749246301928,0.21495778226554127,0.11112760624808524,0.2149580646510093,0.3126832459075949,0.25096811249282236,inf
26,0.3226143329772614,0.31559911006244,0.27274710861685614,0.2804645770032123,0.15813969564416736,0.2828827296283487,0.4508947949914561,0.16990136102433753,84473106408000.27
27,0.443145225903594,0.4342520014740491,0.36700952342491283,0.4061944932843648,0.22921212951176564,0.4077618669795016,0.5843240850850268,0.16990136102433753,84473106408000.27
28,0.1525156884447956,0.15316892705335325,0.1236181342987881,0.1606617687382749,0.07691064220418581,0.1607281273624236,0.24467483809846677,0.05507359242632596,569873548125706.8
29,0.45795559698904986,0.47420373082389555,0.39445930518895184,0.5146531911745235,0.28853492495404615,0.5178678083609441,0.6032944269990693,0.24376339050020515,671657441241687.1
30,0.5444388714984055,0.6111835342821013,0.3800088499200787,0.43649418340422425,0.23866200412079308,-0.2883350235897648,0.6968098150270712,0.0,2340116294750425.0
31,0.05057426908666699,0.05635541905306343,0.08337694469704508,0.22892518469266016,0.20028299591715415,0.2632281385270902,0.08668297656447621,0.07657284750150199,1573.5837526547703
32,0.23971646961640333,0.2745736816127462,0.20740924458964066,0.35968315947487983,0.19793507636601454,0.04280925179062345,0.37026829948327716,0.07657284750150199,1573.5837526547703
33,0.28416028405401883,0.3038447584940044,0.2253913905514165,0.39687017039943845,0.20043786787651383,0.40420772267348504,0.4323010482932241,0.21429562466970234,inf
